"Movie","Budget (thousands of $)","Domestic Box Office Revenue (thousands of $)","International Box Office Revenue (thousands of $)","MPAA Rating","Running time","Franchise","Original source","Genre","Production method","Type","Production companies","Production country","Languages","Distributor","Release year"
"Student of the Year 2",NA,778.6,279.4,"Not Rated","145 minutes","Student of the Year","Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction","Dharma Productions, Fox Star Studios","India","Hindi","FIP",2019
"Sui Dhaaga: Made in India",NA,790.628,342.9,"Not Rated","122 minutes",NA,NA,"Romantic Comedy","Live Action",NA,NA,"India","Hindi","Yash Raj Films",2018
"Sultan",11000,5599.8,67390,"Not Rated","170 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction","Yash Raj Films","India","Hindi","Yash Raj Films",2016
"Tamasha",NA,2065.5,13239.3,"Not Rated","151 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","UTV Motion Pictures, Nadiadwala Grandson Entertainment","India","Hindi","UTV Communications",2015
"Te3n",NA,331.5,104.9,"Not Rated","133 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Reliance Entertainment, Endemol Shine, Blue Water Films, Sujoy Ghosh, Cinemaa, Kross Pictures","India","Hindi","Reliance Entertainment",2016
"Tees Maar Khan",NA,1076.3,23709.3,"Not Rated","135 minutes",NA,"Remake","Comedy","Live Action","Contemporary Fiction",NA,"India","Hindi","UTV Communications",2010
"Tere Naal Love Ho Gaya",NA,177.7,4619.9,"Not Rated","130 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction","Tips Industries","India","Hindi","UTV Communications",2012
"Thank You",NA,463.5,14196.5,"Not Rated","155 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction","UTV Communications","India","Hindi","UTV Communications",2011
"The Sky is Pink",NA,555.03,184.1,"Not Rated","142 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","RSVP Entertainment, Roy Kapur Films, Purple Pebble Pictures, SK Global","India","Hindi","Gravitas Ventures",2019
"The Zoya Factor",NA,128.831,51.9,"Not Rated","134 minutes",NA,"Fiction Book/Short Story","Romantic Comedy","Live Action","Contemporary Fiction","Fox Star Studios, Adlabs Films","India","Hindi","FIP",2019
"Thugs of Hindostan",NA,1449.848,26492.9,"Not Rated","164 minutes",NA,NA,"Action","Live Action",NA,NA,"India","Hindi","Yash Raj Films",2018
"Total Dhamaal",NA,2167.632,14520.5,"Not Rated","127 minutes","Dhamaal","Original Screenplay","Comedy","Live Action","Contemporary Fiction","Ajay Devgn Films, Fox Star Studios, Maruti Media, Shri Adhikari Bros","India","Hindi","FIP",2019
"Udaan",NA,7.5,711.5,"Not Rated",NA,NA,NA,"Thriller",NA,NA,NA,"India","Hindi","UTV Communications",2010
"Uri: The Surgical Strike",NA,4185.7,691.1,"Not Rated","138 minutes",NA,"Real Life Events","Action","Live Action","Dramatization",NA,"India","Hindi","PackYourBag Films",2019
"War (2019)",NA,3640.4,4797.7,"Not Rated","154 minutes",NA,NA,"Action","Live Action",NA,NA,"India","Hindi","Lionsgate, Yash Raj Films",2019
"Zindagi Na Milegi Dobara",NA,3103.7,26155.6,"Not Rated","148 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"India","Hindi","Eros Entertainment",2011
"Zokkomon",NA,2.815,NA,"PG for mild thematic elements and brief violence","108 minutes",NA,"Original Screenplay","Adventure","Live Action","Kids Fiction","Walt Disney Pictures, Highlight Pictures","India","Hindi","Walt Disney",2011
"Kaminey",NA,1286.1,5963.4,"Not Rated","135 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"Japan","Hindi","UTV Communications",2009
"Dabangg 3",NA,535,13020,"Not Rated","163 minutes","Dabangg","Original Screenplay","Action","Live Action","Contemporary Fiction","Salman Khan Films, Saffron Broadcast & Media Limited","India","Hindi, Kannada, Tamil, Telugu","Yash Raj Films",2019
"Baahubali 2: The Conclusion",30000,18985.8,244517.1,"Not Rated","167 minutes","Baahubali","Fiction Book/Short Story","Action","Live Action","Historical Fiction","Dharma Productions, Arka Media Works, AA Films","India","Hindi, Malayalam, Tamil, Telugu","Great India Films",2017
"Highway",NA,529.1,NA,"Not Rated","135 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Window Seat Films","India","Hindi, Nepali","UTV Communications",2014
"Mission Mangal",NA,3660.413,849,"Not Rated","127 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Cape of Good Films, Hope Productions, Fox Star Studios, Nadiadwala Grandson Entertainment","India","Hindi, Tamil","FIP",2019
"Saala Khadoos",NA,76.931,29.6,"Not Rated","109 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Rajkumar Hirani Films, Tricolour Productions Pvt. Ltd. , UTV Motion Pictures, Why Not Productions, Thirukumaran Entertainment","India","Hindi, Tamil","UTV Communications",2016
"Fanaa",NA,2105.4,13601.8,"Not Rated","169 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"India","Hindi, Urdu","Yash Raj Films",2006
"Inni",NA,124,71,"Not Rated","74 minutes",NA,"Musical Group","Performance","Live Action","Factual","Klikk Prods","Canada, Iceland, United Kingdom","Icelandic","Cinema Purgatorio",2011
"Rams",NA,149.2,1842.8,"R for language and brief graphic nudity","93 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Cohen Media Group, Netop Films, Profile Pictures, Film Farms, Aeroplan Films, Grimur Hakonarson","Iceland","Icelandic","Cohen Media Group",2015
"Uncle Boonmee",NA,184.3,2329.9,"Not Rated","113 minutes",NA,"Original Screenplay","Drama","Live Action","Fantasy","Illuminations Films, Kick the Machine Films, Anna Sanders Films, The Match Factory, GFF Geissendoerfer Film-und Fernsehproduktion, Eddie Saeta S.A.","France, Germany, Spain, Thailand, United Kingdom","Isan, Thai","Strand",2011
"Little Girl",NA,1.4,NA,"Not Rated","100 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Vento Films, Provincia di Bolzano Alto Adige, Innovative Film Australia","Austria, Italy","Italian","First Run Features",2011
"The Golden Door",NA,1063.6,NA,"PG-13 for brief graphic nudity.","118 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"France, Germany, Italy","Italian","Miramax",2007
"Cristo si è fermato a Eboli",NA,82.1,NA,NA,"220 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Historical Fiction",NA,"France, Italy","Italian","Rialto Pictures",1980
"Ferrante Fever",NA,11.1,3.4,"Not Rated","74 minutes",NA,"Original Screenplay","Documentary","Live Action","Factual","Greenwich Entertainment, Malia, RAI Cinema, MIBACT, Sky     , Arte, QMI, Inoxfucine Group SRL, Tax Credit Legislation, The Campania Regional Film Commission","France, Italy","Italian","Greenwich",2018
"I Vitelloni",NA,115.3,38.2,"Not Rated","107 minutes",NA,NA,"Drama","Live Action",NA,NA,"France, Italy","Italian","Kino International",1953
"Loro 1",NA,35.613,6292,"Not Rated","104 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Indigo Film, Pathe, France 2 Cinema, OCS., Ministero Dei Beni e Delle Attivita Culturali e del Turismo, Regione Lazio, Oceania Produzioni Internazionali Cinematografiche, Progetto Cofinanziato Dall’Unione Europea, Fondazione Sardegna Film Commission, Fondo Sardegna Ospitalita, Fondo Filming Olbia, Universal Pictures, France Television","France, Italy","Italian","IFC Films",2018
"The Night",NA,39.2,NA,"Not Rated","122 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Nepi Film, Silver Films, Sofitedip","France, Italy","Italian","Rialto Pictures",1961
"The Four Times",NA,152.5,NA,"Not Rated","88 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Vivo Film, Essential Filmproduktion, Invisible Film, Ventura film","Germany, Italy, Switzerland","Italian","Lorber Films",2011
"Gomorrah",6200,1579.1,35760.4,"Not Rated","137 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"Italy","Italian","IFC Films",2009
"I am Love",10000,5005.5,10116.1,"R for sexuality and nudity.","119 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"Italy","Italian","Magnolia Pictures",2010
"Il Divo",NA,240.2,6179.9,"Not Rated","110 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"Italy","Italian","Music Box Films",2009
"Mid-August Lunch",NA,675.3,NA,"Not Rated",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"Italy","Italian","Zeitgeist",2010
"Pinocchio",NA,1181.4,20436.6,"PG-13 for some disturbing images","125 minutes",NA,"Fiction Book/Short Story","Adventure","Animation/Live Action","Fantasy","Archimede    , RAI Cinema, Le Pacte, Recorded Picture Company, Leone Film Group, BPER Banca, MIBACT, Direzione Generale Cinema, Eurimages, Regione Lazio, Regione Puglia, Regione Toscana, Canal Plus, Cine Plus, HanWay Films","Italy","Italian","Roadside Attractions",2019
"Storia di B. — La scomparsa di mia madre",NA,25,13,"Not Rated","94 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Nanof, RAI Cinema, Ryot Films, MIBACT, Direzione Generale Cinema, Sensi Contemporanei Toscana per il Cinema","Italy","Italian","Kino Lorber",2019
"The Double Hour",NA,1514.9,1200.8,"Not Rated","94 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Medusa Film, Indigo Film","Italy","Italian","Samuel Goldwyn Films",2011
"The Great Beauty",12000,2883.9,26661.2,"Not Rated","142 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Indigo Film, Babe Films, Pathe Production, France 2 Cinema, Medusa Film","Italy","Italian","Janus Films",2013
"The Passionate Thief",NA,31.5,NA,"Not Rated","106 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Silvio Clementelli","Italy","Italian","Rialto Pictures",1960
"The Sicilian Girl",NA,71.2,NA,"Not Rated","110 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","R&C Produzioni, Eurofilm, Roissy Films, Studio 37, Malec Prod, Cite Films","Italy","Italian","Music Box Films",2010
"Ugly, Dirty and Bad",NA,6.6,NA,"Not Rated","115 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Italy","Italian","Film Movement",1976
"The Met: Live in HD - Aida",NA,2800,143.8,"Not Rated",NA,NA,NA,"Performance",NA,NA,NA,"United States","Italian","NCM Fathom",2013
"En Brazos de un Asesino",NA,425.332,NA,"R for bloody violence, sexual content and nudity","101 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Pantelion Films, Lionsgate, William Levy Entertainment","Dominican Republic","Italian, Spanish","Lionsgate",2019
"Ran",NA,2133,44.7,"R","162 minutes",NA,"Play","Drama","Live Action","Historical Fiction","Greenwich Film Production, Herald Ace Inc., Nippon Herald Films","France, Japan","Japanese","Rialto Pictures",1985
"After Life",NA,802,170.1,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Fantasy",NA,"Japan","Japanese","Artistic License",1999
"Attack on Titan: Part 1",NA,258.8,28269.6,"Not Rated","98 minutes","Attack on Titan","Comic/Graphic Novel","Action","Live Action","Science Fiction","Toho Co","Japan","Japanese","FUNimation",2015
"Attack on Titan: Part 2",NA,243.4,14918.3,"Not Rated","87 minutes","Attack on Titan","Comic/Graphic Novel","Action","Live Action","Science Fiction",NA,"Japan","Japanese","FUNimation",2014
"Before We Vanish",NA,52.1,397.7,"R for some violence and bloody images","129 minutes",NA,"Play","Drama","Live Action","Science Fiction","Nippon Television Network, Nikkatsu, Wowow, Yomiuri Telecasting Corporation, Pony Canyon, Nippon Planning Center, Office Saku, Hirata, Django Films","Japan","Japanese","Super LTD",2017
"Big Man Japan",NA,40.8,7905.2,"PG-13 for sci-fi action and crude humor.","113 minutes",NA,"Original Screenplay","Comedy","Live Action","Fantasy",NA,"Japan","Japanese","Magnolia Pictures",2009
"Boku no Hiro Akademia The Movie Hirozu: Raijingu",NA,13553.826,16332.5,"PG-13 for violence and language.
(subtitled)(Rating bulletin 2617 (Cert #52556), 2/19/2020)","104 minutes","My Hero Academia","Comic/Graphic Novel","Adventure","Digital Animation","Super Hero",NA,"Japan","Japanese","FUNimation",2019
"Departures",NA,1543.3,64600,"PG-13 For thematic material","131 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Japan","Japanese","Regent Releasing",2009
"Doragon bôru Z: Fukkatsu no 'F'",NA,8008.4,50400,"Not Rated","93 minutes","Dragon Ball Z","Comic/Graphic Novel","Action","Hand Animation","Fantasy","Toei Animation","Japan","Japanese","FUNimation",2015
"Dragon Ball Super: Broly",8500,30376.8,92371,"PG for prolonged frenetic sequences of action and violence, and for language","100 minutes","Dragon Ball Z","TV","Action","Digital Animation","Fantasy","Toei Animation","Japan","Japanese","FUNimation",2018
"Fireworks",NA,525.3,26105.4,"Not Rated","90 minutes",NA,"Movie","Drama","Digital Animation","Science Fiction","Shaft Inc","Japan","Japanese","GKIDS",2017
"Godzilla 2000",1000,10037.4,NA,"PG for monster violence and mild language",NA,"Godzilla","Remake","Action","Animation/Live Action","Science Fiction",NA,"Japan","Japanese","Sony Pictures",2000
"Gojira",NA,491.4,NA,"Not Rated","96 minutes","Godzilla","Original Screenplay","Horror","Live Action","Science Fiction","Toho Co","Japan","Japanese","Rialto Pictures",1954
"Hausu",NA,210.4,NA,"Not Rated","88 minutes",NA,"Original Screenplay","Horror","Live Action","Contemporary Fiction",NA,"Japan","Japanese","Janus Films",1977
"Howl's Moving Castle",24000,4710.5,233103.9,"PG for frightening images and brief mild language.","119 minutes",NA,"Fiction Book/Short Story","Adventure","Hand Animation","Kids Fiction","Studio Ghibli","Japan","Japanese","Walt Disney",2005
"Immortal Hero",NA,43.1,6137,"PG for thematic material.
Rating is for English Dubbed version(Rating bulletin 2598 (Cert #52420), 10/2/2019)","118 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Django Films, Ari, New Star","Japan","Japanese","Freestyle Releasing",2019
"Kaguyahime no monogatari",NA,1507,17800,"PG for thematic elements, some violent action and partial nudity","137 minutes",NA,"Original Screenplay","Drama","Hand Animation","Fantasy","Studio Ghibli","Japan","Japanese","GKIDS",2013
"Kôkaku Kidôtai",NA,101.203,1231.1,"Not Rated","100 minutes",NA,"Comic/Graphic Novel","Action","Hand Animation","Science Fiction",NA,"Japan","Japanese","FUNimation",2015
"Lu Over The Wall",NA,110.2,66.6,"PG for some peril and thematic elements","112 minutes",NA,"Folk Tale/Legend/Fairytale","Adventure","Digital Animation","Kids Fiction","Science Saru","Japan","Japanese","GKIDS",2018
"Meari to majo no hana",NA,2418.404,39618.4,"PG for some action and thematic elements","103 minutes",NA,"Fiction Book/Short Story","Adventure","Hand Animation","Kids Fiction","Studio Ponoc","Japan","Japanese","GKIDS",2017
"Mind Game",NA,36.613,NA,"Not Rated","103 minutes",NA,"Comic/Graphic Novel","Adventure","Digital Animation","Kids Fiction",NA,"Japan","Japanese","GKIDS",2004
"Mirai no Mirai",NA,812.8,29051,"PG for thematic elements including some scary images","98 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Kids Fiction",NA,"Japan","Japanese","GKIDS",2018
"Miss Hokusai",NA,222.7,154.7,"PG-13 for mature thematic material including sexual situations and images","90 minutes",NA,"Comic/Graphic Novel","Drama","Digital Animation","Historical Fiction","Sarusuberi Film Partners, Production I.G","Japan","Japanese","GKIDS",2015
"Modest Heroes",NA,178.027,NA,"PG for some thematic elements and peril","53 minutes",NA,"Compilation","Adventure","Digital Animation","Fantasy",NA,"Japan","Japanese","GKIDS",2018
"My Hero Academia: Two Heroes",NA,5427.6,22080,"PG-13 for some violent material/bloody images","96 minutes","My Hero Academia","Comic/Graphic Novel","Adventure","Digital Animation","Kids Fiction",NA,"Japan","Japanese","FUNimation",2018
"Napping Princess",NA,48.2,1134.1,"Not Rated","110 minutes",NA,"Original Screenplay","Drama","Hand Animation","Science Fiction",NA,"Japan","Japanese","GKIDS",2017
"Ocean Waves",NA,87.738,NA,"PG-13 for some thematic material","72 minutes",NA,"Original Screenplay","Drama","Digital Animation","Kids Fiction","Studio Ghibli","Japan","Japanese","GKIDS",2016
"Okko’s Inn",NA,134.8,183,"PG for thematic material","120 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Contemporary Fiction",NA,"Japan","Japanese","GKIDS",2018
"Only Yesterday",NA,453.2,62.1,"PG for thematic elements, some rude behavior and smoking","118 minutes",NA,"Comic/Graphic Novel","Drama","Hand Animation","Contemporary Fiction","Studio Ghibli","Japan","Japanese","GKIDS",1991
"Owarani hito Miyazaki: Hayao",NA,187.32,NA,"Not Rated","70 minutes",NA,"Real Life Events","Documentary","Live Action","Factual",NA,"Japan","Japanese","GKIDS",2018
"Perfect Blue",NA,763.5,4.5,"R for animated sequences of violence and nudity, and for brief language.","81 minutes",NA,NA,"Thriller",NA,NA,NA,"Japan","Japanese","",1998
"Pokemon: The First Movie",30000,85744.7,77900,"G","96 minutes","Pokemon","Game","Adventure","Hand Animation","Kids Fiction",NA,"Japan","Japanese","Warner Bros.",1999
"Ponyo",34000,15090.4,190222.3,"G","101 minutes",NA,"Original Screenplay","Adventure","Hand Animation","Kids Fiction","Studio Ghibli, Nippon Television Network, Dentsu Inc., Hakuhoda, Walt Disney Japan","Japan","Japanese","Walt Disney",2009
"Promare",NA,2313.6,7176.3,"PG-13 for some violence and language","111 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Science Fiction","XFLAG, Studio Trigger","Japan","Japanese","GKIDS",2019
"Ride Your Wave",NA,332.432,3669.4,"Not Rated","94 minutes",NA,"Original Screenplay","Comedy","Digital Animation","Contemporary Fiction","Toho Co, GKIDS, Fuji Television Network, Science Saru","Japan","Japanese","GKIDS",2019
"Shin Godzilla",NA,1908.028,73704.5,"Not Rated","120 minutes","Godzilla","Fiction Book/Short Story","Action","Animation/Live Action","Science Fiction",NA,"Japan","Japanese","FUNimation",2016
"Still Walking",NA,167,223.7,"Not Rated","115 minutes",NA,NA,"Drama",NA,NA,NA,"Japan","Japanese","IFC Films",2009
"Tales From Earthsea",NA,48.7,68000,"PG-13 for some violent images","115 minutes",NA,"Fiction Book/Short Story","Adventure","Digital Animation","Fantasy","Studio Ghibli","Japan","Japanese","Walt Disney",2006
"The Boy and the Beast",NA,490.6,49281.5,"PG-13 for some violence and language","119 minutes",NA,"Original Screenplay","Adventure","Hand Animation","Fantasy","Studio Chizu, Nippon Television Network","Japan","Japanese","FUNimation",2015
"United Red Army",NA,2.7,NA,"Not Rated","190 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction","Wakamatsu, Skhole Co","Japan","Japanese","Lorber Films",2011
"Weathering With You",NA,7798.703,182546.6,"PG-13 for suggestive material, some violence and language","111 minutes",NA,"Original Screenplay","Drama","Digital Animation","Science Fiction",NA,"Japan","Japanese","GKIDS",2019
"When Marnie Was There",NA,565,1202.7,"PG for thematic elements and smoking","103 minutes",NA,"Fiction Book/Short Story","Drama","Hand Animation","Kids Fiction","Studio Ghibli","Japan","Japanese","GKIDS",2015
"Yoru Wa Mijikashi Aruke Yo Otome",NA,406.5,3480.4,"Not Rated","93 minutes",NA,"Fiction Book/Short Story","Romantic Comedy","Digital Animation","Contemporary Fiction",NA,"Japan","Japanese","GKIDS",2017
"Yu-Gi-Oh",20000,19762.7,8952.3,"PG for scary combat and monster images.","100 minutes",NA,"Comic/Graphic Novel","Adventure","Hand Animation","Kids Fiction",NA,"Japan","Japanese","Warner Bros.",2004
"13 Assassins",6000,802.8,17924.7,"R for sequences of bloody violence, some disturbing images and brief nudity","125 minutes",NA,"Remake","Action","Live Action","Historical Fiction","Sedic International Inc., Recorded Picture Company, TV Asahi Corporation, Toho Co, Dentsu Inc., Rakueisha Co.","Japan, United Kingdom","Japanese","Magnolia Pictures",2011
"Letters from Iwo Jima",13000,13756.1,54111.9,"R for graphic war violence.","101 minutes",NA,"Real Life Events","Drama","Live Action","Historical Fiction","DreamWorks Pictures, Warner Bros.","United States","Japanese","Warner Bros.",2006
"The Departure",NA,24.7,NA,"Not Rated","87 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Drifting Cloud Productions, Roast Beef, ITVS, Candescent Films, Artemis Rising Foundation","United States","Japanese","Matson",2017
"Dear Comrade",NA,457,106.8,"Not Rated","169 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction",NA,"India","Kannada, Malayalam, Tamil, Telugu","",2019
"3-Iron",NA,238.5,NA,"R for some sexual content",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"Republic of Korea","Korean","Sony Pictures Classics",2005
"Under the Sun (2016)",NA,99.4,225.1,"Not Rated","110 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Vertov, Real Cinema, Saxonia Entertainment, Hypermarket Film, MDR, Czech Television","Czech Republic, Germany, Democratic People's Republic of Korea, Latvia, Russian Federation","Korean","Icarus Films",2016
"Hotel by the River",NA,27.8,132.7,"Not Rated","96 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"Republic of Korea","Korean","Cinema Guild",2019
"LUCK-KEY",NA,466.5,52024.6,"Not Rated","112 minutes",NA,"Remake","Comedy","Live Action","Contemporary Fiction",NA,"Republic of Korea","Korean","JBG Pictures",2016
"Mother",NA,551.5,16966.6,"R for language, some sexual content, violence and drug use","128 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Magnolia Pictures, CJ Entertainment, Barunson E&A","Republic of Korea","Korean","Magnolia Pictures",2009
"My Love, Don't Cross That River",NA,88,34012.3,"Not Rated","86 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Deemyung Culture Factory, Angus Film","Republic of Korea","Korean","Film Movement",2014
"Oldboy (2003)",3000,707.4,5519,"R for strong violence including scenes of torture, sexuality and pervasive language.","120 minutes","Vengeance Trilogy","Original Screenplay","Thriller","Live Action",NA,NA,"Republic of Korea","Korean","FilmDistrict, Tartan Films",2003
"Parasite",11800,53369.745,201326,"R for language, some violence and sexual content","132 minutes",NA,"Original Screenplay","Dark Comedy","Live Action","Contemporary Fiction","Barunson E&A, Neon Films, CJ Entertainment","Republic of Korea","Korean","Neon",2019
"Poetry",NA,356.1,NA,"Not Rated","134 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Pinehouse Film, Unikorea","Republic of Korea","Korean","Kino International",2011
"Sympathy for Mr. Vengeance",NA,45.2,22.5,"R for strong gruesome violence, strong sexuality, language and drug use.","121 minutes","Vengeance Trilogy","Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"Republic of Korea","Korean","Tartan Films",2003
"The Good, the Bad, the Weird",10000,128.5,42098.2,"R For nonstop violence and some drug use(Rating bulletin 2123, 6/2/2010)",NA,NA,"Original Screenplay","Action","Live Action","Historical Fiction",NA,"Republic of Korea","Korean","",2010
"The Housemaid",NA,158,13047.3,"Not Rated","106 minutes",NA,"Remake","Thriller","Live Action","Contemporary Fiction","Mirovision Inc., Sidus FNH","Republic of Korea","Korean","IFC Films",2011
"Thirst",NA,318.6,13150.4,"R for graphic bloody violence, disturbing images, strong sexual content, nudity and language.",NA,NA,"Original Screenplay","Horror","Live Action","Fantasy",NA,"Republic of Korea","Korean","Focus Features",2009
"Train to Busan",NA,2129.8,93569.9,"Not Rated","118 minutes","Train to Busan","Original Screenplay","Horror","Live Action","Science Fiction","Next Entertainment, Redpeter Film","Republic of Korea","Korean","Well Go USA",2016
"Warriors of the Dawn",NA,84.532,5580,"Not Rated","130 minutes",NA,"Original Screenplay","Drama","Live Action","Historical Fiction",NA,"Republic of Korea","Korean","FIP",2017
"Woman on the Beach",NA,22,NA,"Not Rated",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"Republic of Korea","Korean","New Yorker",2008
"Bad Education",5000,5211.8,35100,"NC-17 for a scene of explicit sexual content",NA,"Viva Pedro Box","Original Screenplay","Drama","Live Action","Historical Fiction",NA,"Spain","Latin, Spanish","Sony Pictures Classics",2004
"Husbands in Goa",NA,10.135,826.5,"Not Rated","150 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","UTV Communications","India","Malayalam","UTV Communications",2012
"A Touch of Sin",NA,154.1,480,"Not Rated","125 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Xstream Pictures, Office Kitano, Shanghai Film Group, MK2, Shanxi Film and Television Group, Bandai Visual, Bitters End, Shozo Ichiyama","China","Mandarin","Kino Lorber",2013
"Detective Chinatown 2",NA,1984,542084.6,"R for brief language","121 minutes","Detective Chinatown","Original Screenplay","Action","Live Action","Contemporary Fiction",NA,"China","Mandarin","Warner Bros.",2018
"Di Renjie",NA,474.8,69.2,"PG-13 for violence, disturbing images and some sexuality","122 minutes","Detective Dee","Fiction Book/Short Story","Thriller","Live Action","Historical Fiction","Film Workshop Company, Hyayi Brothers Corp., Zhejiang Hengdian World Studios","China","Mandarin","Indomina Releasing",2011
"Jiàn Dang Wei Yè",NA,151.3,60096.7,"Not Rated","118 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"China","Mandarin","China Lion Film Distribution",2011
"Monster Hunt 2",NA,706.2,360977.7,"Not Rated","146 minutes","Zhuo yao ji (Monster Hunt)","Original Screenplay","Adventure","Animation/Live Action","Science Fiction",NA,"China","Mandarin","Lionsgate",2018
"Ne Zha",NA,3695.5,738818.5,"Not Rated","110 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Fantasy","Well Go USA Entertainment, Chengdu Coco Cartoon","China","Mandarin","Well Go USA",2019
"Somewhere Only We Know",NA,482,45160,"Not Rated","109 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Kaila Pictures Co. Ltd. ","China","Mandarin","China Lion Film Distribution",2015
"Suburban Birds",NA,10.4,NA,"Not Rated","118 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Transcend Pictures, Quasar Films, Cforce Pictures, Chan Films   , Flash Forward Entertainment","China","Mandarin","Cinema Guild",2019
"The Bravest",NA,290.217,244889.3,"PG-13 for intense disaster sequences and related injury images","90 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Far East Films","China","Mandarin","Sony Pictures",2019
"The Mermaid",60720,3229.5,521789,"R for some violence","94 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Science Fiction","The Star Overseas, China Film Company, Hehe Pictures Co Ltd, Enlight Pictures, Shanghai New Culture Media Group, Zenith Culture Broadcast, Zeyue Media, Alpha Pictures Investment Co., xxxKxx, Bingo Movie Development","China","Mandarin","Sony Pictures",2016
"The Wandering Earth",50000,5875.5,683059.3,"Not Rated","125 minutes",NA,"Original Screenplay","Action","Live Action","Science Fiction","Beijing Jingxi Culture and Tourism Company, China Film Co. LTD, United Entertainment","China","Mandarin","CMC Pictures",2019
"True Legend",NA,80.1,92.3,"R for sequences of battle violence and brutal fighting","116 minutes",NA,"Real Life Events","Action","Live Action","Dramatization","Grand Plentiful Holdings Group, Shanghai Film Group, Beijing New Times Film Culture Development Co.","China","Mandarin","Indomina Releasing",2011
"Wo Zhi Nv Ren Xin (2011)",NA,123.5,7118.4,"Not Rated",NA,NA,"Remake","Comedy","Live Action","Contemporary Fiction",NA,"China","Mandarin","Paramount Pictures, China Lion Film Distribution",2011
"Xi You Fu Yao Pian",NA,880.3,247924.8,"PG-13 for fantasy action violence, some suggestive content, rude humor and thematic elements","108 minutes","Journey to the West","Original Screenplay","Action","Live Action","Contemporary Fiction",NA,"China","Mandarin","Sony Pictures",2017
